Departement,arrondissement,commune,section_communale,Institution,Categorie,Statut,code_MSPP,code_iSante,Reseau,Lat,Long
Artibonite ,Gros-Morne,Anse-Rouge,2ème-Sources-Chaudes,Centre de santé Illodep,CSL,Privé à but lucratif,523204,52304,N/A,19.6006,-72.9539
Artibonite ,Gros-Morne,Anse-Rouge,1ère-L’Arbre,Disp. Canté (Tanté),Disp.,Public,523107,52307,N/A,19.7173,-72.9454
Artibonite ,Gros-Morne,Anse-Rouge,1ère-L’Arbre,Disp. Plaine de l’Arbre,Disp.,Public,523105,52305,N/A,19.6668,-73.022
Artibonite ,Gros-Morne,Anse-Rouge,2ème  Sources Chaudes,Disp. Sources Chaudes,Disp.,Public,523206,52306,N/A,19.6363,-72.9164
Artibonite ,Saint-Marc,Saint-Marc,2ème-Bois-Neuf,Chardène,Disp.,Public,531202,53102,,19.049,-72.7148
Artibonite ,Saint-Marc,Saint-Marc,1ère  Délugé,Gresseau,Disp.,Public,531105,53105,,18.9828,-72.6461
Artibonite ,Saint-Marc,Saint-Marc,3e Goyavier,Goyavier,Disp.,Public,531304,53104,,,
Artibonite ,Saint-Marc,Saint-Marc,1ère  Délugé,Montrouis,Disp.,Public,531107,53107,,,
Artibonite ,Saint-Marc,Saint-Marc,2ème-Bois-Neuf,Jeanton,Disp.,Public,531206,53106,,19.0753,-72.7088
Artibonite ,Saint-Marc,Saint-Marc,5ème-Bocozelle,Bocozelle,CAL,Privé à but lucratif,531510,53110,,19.2069,-72.6405
Artibonite ,Saint-Marc,Saint-Marc,5ème-Bocozelle,Gervais,Disp.,Privé à but lucratif,531511,53111,,19.2378,-72.7188
Artibonite ,Saint-Marc,Saint-Marc,4ème-Lalouère,RSCH/ Gilbert,Disp.,Public,531412,53112,,19.0675,-72.6152
Artibonite ,Saint-Marc,Saint-Marc,6ème-Charrette,Terre Blanche,Disp.,Public,531613,53113,,19.0707,-72.681
Artibonite ,Saint-Marc,Saint-Marc,6ème-Charrette,SSPE,Disp.,Public,531615,,,,
Artibonite ,Saint-Marc,Saint-Marc,5ème-Bocozelle,RSCH/ Bertrant,Disp.,Privé à but lucratif,531516,53116,,19.1651,-72.636
Artibonite ,Saint-Marc,Saint-Marc,6ème-Charrettes,Saint Nicolas,HCR,Public,531601,53101,PIH,19.1134,-72.699
Artibonite ,Saint-Marc,Saint-Marc,6ème-Charrettes,Charrettes,Disp.,Public,531603,53103,,19.0802,-72.675
Artibonite ,Saint-Marc,Saint-Marc,2ème-Bois-Neuf,Pierre Payen,CAL,Privé à but lucratif,531208,53108,URC,18.9972,-72.7379
Artibonite ,Saint-Marc,Saint-Marc,5ème-Bocozelle,Pont Sondé,Disp.,Public,531509,53109,,19.1488,-72.617
Artibonite ,Saint-Marc,Saint-Marc,4ème-Lalouère,St Laurent/Barbe,Disp.,Public,531414,53114,,19.094,-72.6551
Artibonite ,Saint-Marc,Saint-Marc,4ème-Lalouère,Lagarenne,Disp,Privé à but lucratif,531417,,,,
Artibonite ,Saint-Marc,Saint-Marc,5ème Bocozelle,Fondation Siméus (NF),Disp.,Privé à but lucratif,531517,,,,
Artibonite ,Saint-Marc,Verrettes,5ème-Bastien,Bastien,Disp.,Privé à but lucratif,532503,53203,,19.0459,-72.5241
Artibonite ,Saint-Marc,Verrettes,6ème Terre-Natte,Barbe (NF),Disp.,Public,532602,53202,,,
Artibonite ,Saint-Marc,Verrettes,3ème Guillaume-Mogé,Disp. Christant (NF),Disp.,Public,532310,,,,
Artibonite ,Saint-Marc,Verrettes,2ème Bélanger,CS de Belanger,CSL,Privé à but lucratif,532211,,,,
Artibonite ,Saint-Marc,Verrettes,3ème Guillaume-Mogé,CS St Guillaume,CSL,Mixte,532312,,,,
Artibonite ,Saint-Marc,Verrettes,5ème-Bastien,Dumarsais Estimé,Hôpital,Public,532506,53206,,19.0506,-72.4671
Artibonite ,Saint-Marc,Verrettes,1ère-Liancourt,Liancourt,CSL,Privé sans but lucratif,532108,53208,,19.1272,-72.5351
Artibonite ,Saint-Marc,Verrettes,3ème-Guillaume-Mogé,Disp. Marin  (NF),Disp.,Public,532309,,,,
Artibonite ,Saint-Marc,Verrettes,2ème-Bélanger,Albert Schweitzer,Hôpital,Privé sans but lucratif,532201,53201,CRS,19.0745,-72.4914
Artibonite ,Saint-Marc,Verrettes,4ème-Desarmes,Desarmes,CSL,Mixte,532404,53204,,18.9928,-72.3892
Artibonite ,Saint-Marc,Verrettes,2ème-Bélanger,Deschapelles,Disp.,Privé sans but lucratif,532205,53205,,19.0818,-72.4952
Artibonite ,Saint-Marc,Verrettes,4ème-Desarmes,Gabriel,Disp.,Privé sans but lucratif,532407,53207,,19.0159,-72.4595
Artibonite ,Saint - Marc,Verrettes,4ème-Desarmes,Valheureux,Disp,Privé à but lucratif,532413,,,,
Artibonite ,Saint-Marc,La Chapelle,1ère-Martineau,La Chapelle,CAL,Mixte,533101,53301,,18.914,-72.3164
Artibonite ,Dessalines,Dessalines,2e Fossé-Naboth (2e Duvallon),Pélissier/ Laraque,Disp.,Privé à but lucratif,541202,54102,,,
Artibonite ,Dessalines,Dessalines,6ème-La-Croix,La Croix Missionnaire,Disp.,Privé à but lucratif,541603,51301,,,
Artibonite ,Dessalines,Dessalines,5ème-Fiéfé,Celio,Disp.,Privé à but lucratif,541504,54104,N/A,19.1645,-72.3624
Artibonite ,Dessalines,Dessalines,3ème-Ogé,Niel,Disp.,Privé à but lucratif,541305,54105,,19.2345,-72.5274
Artibonite ,Dessalines,Dessalines,4ème-Poste-Pierrot,Poste Pierrot,Disp.,Privé à but lucratif,541406,54106,,19.204,-72.457
Artibonite ,Dessalines,Dessalines,4ème-Poste-Pierrot,Coupe à l’Inde,Disp.,Privé à but lucratif,541407,54107,N/A,19.2789,-72.4663
Artibonite ,Dessalines,Dessalines,1ère-Villard,Sanoix,Disp.,Privé à but lucratif,541108,54108,,19.2222,-72.5816
Artibonite ,Dessalines,Dessalines,4ème-Poste-Pierrot,Grande Hatte,Disp.,Privé à but lucratif,541410,54110,N/A,19.1428,-72.433
Artibonite ,Dessalines,Dessalines,3ème-Ogé,Ogé,Disp.,Public,541313,54113,,19.1976,-72.4939
Artibonite ,Dessalines,Dessalines,2ème-Fossé-Naboth,Hatte Chevreau,Disp.,Privé à but lucratif,541214,54114,N/A,19.2882,-72.5791
Artibonite ,Dessalines,Dessalines,3ème-Ogé,Centre Médical Philomène Privenston,CAL,Privé à but lucratif,541316,,,,
Artibonite ,Dessalines,Dessalines,2ème-Fossé-Naboth,CS de Haute Feuille,Disp.,Public,541217,,,,
Artibonite ,Dessalines,Dessalines,6ème-La-Croix,CS de Basse Cabaille,CSL,Privé à but lucratif,541618,,,,
Artibonite ,Dessalines,Dessalines,3ème-Ogé,CS de Grand Bois,CAL,Public,541319,,,,
Artibonite ,Dessalines,Dessalines,4ème-Poste-Pierrot,CS de Bois Mary,CAL,Public,541420,,,,
Artibonite ,Dessalines,Dessalines,3ème-Ogé,Claire Heureuse,HCR,Mixte,541301,54101,URC,19.2632,-72.5163
Artibonite ,Dessalines,Dessalines,2ème-Fossé-Naboth,Deseaux,Disp.,Mixte,541209,54109,N/A,19.2565,-72.5822
Artibonite ,Dessalines,Dessalines,1ère Villars,Beaufort (NF),Disp,Privé à but lucratif,541111,,,,
Artibonite ,Dessalines,Dessalines,4ème-Poste-Pierrot,Shekina (NF),Disp,Privé à but lucratif,541412,,,,
Artibonite ,Dessalines,Dessalines,3ème-Ogé,Sainte Claire d’Assise,Disp.,Privé à but lucratif,541311,54111,ICC,19.2592,-72.5161
Artibonite ,Dessalines,Dessalines,5ème-Fiéfé,Chenot,Disp.,Privé sans but lucratif,541512,54112,N/A,19.1564,-72.3239
Artibonite ,Dessalines,Dessalines,3ème-Ogé  Centre Ville,Glenn Eben-Ezer,Disp.,Privé à but lucratif,541315,,,,
Artibonite ,Dessalines,Petite-Rivière,3ème-Labady,Charles Colimon,HCR,Public,542301,54201,,19.1215,-72.4751
Artibonite ,Dessalines,Petite-Rivière,4ème Savane-Roche,Deslandes,Disp.,Privé à but lucratif,542402,54202,,18.9479,-72.3142
Artibonite ,Dessalines,Petite-Rivière,3ème-Labady,Plassac,CSL,Privé sans but lucratif,542306,54206,,19.0613,-72.4052
Artibonite ,Dessalines,Petite-Rivière,1ère-Bas-Coursin-I,Jean Denis,Disp.,Privé à but lucratif,542109,54209,,19.1848,-72.5428
Artibonite ,Dessalines,Petite-Rivière,2ème Bas-Coursin 2,Ségur (NF),Disp.,Public,542208,54208,,,
Artibonite ,Dessalines,Petite-Rivière,6ème Médor,Saint joseph,Disp,Privé à but lucratif,542604,,,,
Artibonite ,Dessalines,Petite-Rivière,6ème Médor,Médor,Disp.,Public,542611,,,,
Artibonite ,Dessalines,Petite-Rivière,1ère-Bas-Coursin-I,Mauger (NF),Disp.,Public,542103,54203,,19.1611,-72.5659
Artibonite ,Dessalines,Petite-Rivière,5ème-Pérodin,Pérodin,Disp.,Privé sans but lucratif,542505,54205,,19.1075,-72.3014
Artibonite ,Dessalines,Petite-Rivière,4ème-Savane-à-Roche,Savane à Roche,Disp.,Mixte,542407,54207,,19.0118,-72.3669
Artibonite ,Dessalines,Grande Saline,1ère-Poteneau,Drouin,CAL,Public,543101,54301,,19.2561,-72.6897
Artibonite ,Dessalines,Grande Saline,1ère-Poteneau,Grande Saline (NF),Disp.,Public,543102,54302,,,
Artibonite ,Dessalines,Grande Saline,1ère-Poteneau,Poteneau,Disp.,Public,543103,54303,,19.237,-72.6416
Artibonite ,Dessalines,Desdunes,2ème-Desdunes,CSL St Pierre,CAL,Public,544201,54401,N/A,19.2841,-72.6348
Artibonite ,Dessalines,Desdunes,2ème-Desdunes,Disp. Des Cahos,Disp.,Public,544202,54402,N/A,19.3011,-72.6504
Artibonite ,Dessalines,Desdunes,2ème-Desdunes Ville,Fèk Parèt,Disp,Public,544204,,,,
Artibonite ,Dessalines,Desdunes,2ème-Desdunes,Disp. Aux Sources,Disp.,Public,544203,54403,N/A,19.3301,-72.6757
Artibonite ,Marmelade,Saint-Michel,3ème-Bas-de-Sault,Saint Michel de l’Attalaye,CAL,Public,551301,55201,,19.5168,-72.3602
Artibonite ,Marmelade,Saint-Michel,7e Marmont,Marmont/Nan Paul,Disp.,Public,551703,55203,,,
Artibonite ,Marmelade,Saint-Michel,6ème-Las Cidras,Garde Baptiste,Disp.,Public,551604,55204,,,
Artibonite ,Marmelade,Saint-Michel,3ème-Bas-de-Sault,Bas de Sault,Disp.,Public,551305,55205,,,
Artibonite ,Marmelade,Saint-Michel,8ème L’Attalaye,Disp. l’Attalaye (NF),Disp.,Privé à but lucratif,551808,,,,
Artibonite ,Marmelade,Saint-Michel,3ème-Bas-de-Sault (Ville),Disp. Bon Berger (NF),Disp.,Privé à but lucratif,551309,,,,
Artibonite ,Marmelade,Saint-Michel,5ème-L’Ermite,L’Ermite,Disp.,Public,551506,55206,,,
Artibonite ,Marmelade,Saint-Michel,7e Marmont,Disp. New Mission,Disp.,Privé sans but lucratif,551711,,,,
Artibonite ,Marmelade,Saint-Michel,4ème-Las Lomas,Las Lomas,Disp.,Public,551402,55202,,,
Artibonite ,Marmelade,Saint-Michel,8ème L’Attalaye,CS Village d’Espoir,CSL,Public,551810,,,,
Artibonite ,Marmelade,Saint-Michel,2ème-Camathe,Camathe,CSL,Privé sans but lucratif,551207,55207,,,
Artibonite ,Marmelade,Marmelade,2ème Bassin,Bassin,Disp,Public,552202,,,,
Artibonite ,Marmelade,Marmelade,1ère-Crête-à-Pins,CSL Marmelade,CAL,Public,552101,55101,URC,19.3762,-72.3367
Centre ,Hinche,Hinche,1ère-Juanaria,Hôpital Sainte Thérèse (Hinche),HD,Public,611100,61100,,19.1381,-72.014
Centre ,Hinche,Hinche,1ère-Juanaria,Clinic l’Incarnation de Pandiasou,CAL,Privé à but non lucratif,611106,61106,,19.127,-72.0572
Centre ,Hinche,Hinche,1ère-Juanaria,Disp. Withney Clinic,CSL,Public,611107,,,,
Centre ,Hinche,Hinche,1ère-Juanaria,Disp. de Montegrande,Dispensaire,Public,611103,,,,
Centre ,Hinche,Hinche,1ère-Juanaria,Disp. de Dos Palais (NF),Dispensaire,Mixte,611110,61103,,,
Centre ,Hinche,Hinche,1ère-Juanaria,Disp. des Abricots,Dispensaire,Privé à but lucratif,611104,61104,,19.0627,-72.0831
Centre ,Hinche,Hinche,1ère-Juanaria,Centre de santé Abricots,Dispensaire,Privé à but lucratif,611111,,,,
Centre ,Hinche,Hinche,1ère-Juanaria,Clinique New Hope de Hinche,CSL,Privé à but lucratif,611112,,,,
Centre ,Hinche,Hinche,2ème-Marmont,Centre de Santé de Marmont,CSL,Public,611201,61101,,19.06,-71.98
Centre ,Hinche,Hinche,3ème Aguahedionde,Disp. de Bassin Zim,Dispensaire,Public,611308,,,,
Centre ,Hinche,Hinche,3ème Aguahedionde,Disp. de Los Palis,Dispensaire,Mixte,611305,,,,
Centre ,Hinche,Hinche,3ème Aguahedionde,Disp. de Los Palma (NF),Dispensaire,Privé à but lucratif,611309,,,,
Centre ,Hinche,Hinche,4ème Aguahedionde,Disp. la Belle Onde,Dispensaire,Public,611402,61102,,19.1713,-72.0578
Centre ,Hinche,Maïssade,1ère-Savane-Grande,Centre de Santé de Maïssade,CAL,Public,612101,61201,,19.18,-72.14
Centre ,Hinche,Maïssade,1ère-Savane-Grande,Dispensaire de Selpètre,CSL,Public,612104,61204,,19.1511,-72.1662
Centre ,Hinche,Maïssade,1ère-Savane-Grande,Dispensaire Cinquième,Dispensaire,Public,612105,61205,,19.2084,-72.2264
Centre ,Hinche,Maïssade,1ère-Savane-Grande,Dispensaire Madame Joie,Dispensaire,Public,612106,,,,
Centre ,Hinche,Maïssade,2ème-Narang,Dispensaire de Bois-Rouge,Dispensaire,Public,612202,61202,,19.1058,-72.2001
Centre ,Hinche,Maïssade,3ème-Hatty,Dispensaire Ossenande,Dispensaire,Public,612303,,,,
Centre ,Hinche,Maïssade,3ème-Hatty,Dispensaire Bassin Cave  (NF),Dispensaire,Privé à but lucratif,612307,61203,,19.2371,-72.1722
Centre ,Hinche,Maïssade,3ème-Hatty,Dispensaire Hatty (NF),Dispensaire,Privé à but lucratif,612308,61206,,19.167,-72.2223
Centre ,Hinche,Thomonde,1ère-Cabral,Centre de Santé de Thomonde,CAL,Mixte,613101,61301,,19.0262,-71.9696
Centre ,Hinche,Thomonde,1ère-Cabral,Polyclinique commun. Thomonde,CSL,Prive à but lucratif,613106,,,,
Centre ,Hinche,Thomonde,3e sect. Baille-Tour- rible,CS Baille-Tourrible,CSL,Mixte,613305,,,,
Centre ,Hinche,Thomonde,4e La Hoye,Dispensaire La Hoye,Dispensaire,Public,613402,,,,
Centre ,Hinche,Thomonde,4e La Hoye,Dispensaire Caste (NF),CSL,Public,613404,,,,
Centre ,Hinche,Thomonde,4e La Hoye,Dispensaire Pareidon (NF),Dispensaire,Privé à but lucratif,613403,,,,
Centre ,Hinche,Cerca-Cavajal,1ère-Rang,Centre de Santé de Cerca Cavajal,CAL,Public,614101,,,,
Centre ,Hinche,Cerca-Cavajal,1ère-Rang,Dispensaire Ste famille,Dispensaire,Privé à but lucratif,614108,,,,
Centre ,Hinche,Cerca-Cavajal,1ère-Rang,Dispensaire Bon Samaritain (NF),Dispensaire,Privé à but lucratif,614105,61405,,,
Centre ,Hinche,Cerca-Cavajal,1ère-Rang,Dispensaire d’Angoman (NF),Dispensaire,Privé à but lucratif,614106,61406,,,
Centre ,Hinche,Cerca-Cavajal,1ère-Rang,CS Farnèse Louis Jeune (NF),Dispensaire,Privé à but lucratif,614107,61407,,,
Centre ,Mirebalais,Mirebalais,3ème-Grand-Boucan,Hôp. Universitaire de Mirebalais,HU,Public,621308,,,,
Centre ,Mirebalais,Mirebalais,3ème-Grand-Boucan,Dispensaire Décaussière (NF),Dispensaire,Public,621307,,,,
Centre ,Mirebalais,Mirebalais,3ème-Grand-Boucan,Dispensaire Grand Boucan (NF),Dispensaire,Privé à but lucratif,621305,62105,,,
Centre ,Mirebalais,Mirebalais,3ème-Grand-Boucan,Dispensaire Fonds Michel,Dispensaire,Privé à but lucratif,621306,62106,,,
Centre ,Mirebalais,Mirebalais,4ème-Crête-Brûlée,Centre de santé ODECOM,CSL,Mixte,621410,,,,
Centre ,Mirebalais,Mirebalais,4ème-Crête-Brulée,Centre de santé Trianon,CSL,Mixte,621409,,,,
Centre ,Mirebalais,Mirebalais,5ème-Gascogne,Dispensaire Marché Canard,Dispensaire,Public,621504,62104,URC,18.7756,-72.0322
Centre ,Mirebalais,Mirebalais,6ème-Sarazin,Clinique Mennonite (Mirebalais),CSL,Public,621603,62103,,18.8344,-72.0996
Centre ,Mirebalais,Mirebalais,6ème-Sarazin,Dispensaire de Sarazin,Dispensaire,Public,621601,62101,,18.798,-72.001
Centre ,Mirebalais,Saut-d’ Eau,1ère-Rivière-Canot,CS sans Lit de Saut d’Eau,CSL,Public,622101,62201,,18.8164,-72.1974
Centre ,Mirebalais,Saut-d’ Eau,3ème-Coupe-Mardi-Gras,Disp. Coupe Mardi- Gras,CSL,Mixte,622302,,,,
Centre ,Mirebalais,Saut-d’ Eau,4e Montagne-Terrible,Disp. Montagne Terrible (NF),Dispensaire,Privé à but lucratif,622403,62202,,18.8072,-72.2683
Centre ,Mirebalais,Saut-d’ Eau,4e Montagne-Terrible,Dispensaire Cap Anamur (NF),Dispensaire,Privé à but lucratif,622404,62203,,,
Centre ,Mirebalais,Boucan-Carré,1ère des Bayes,Hôpital Bon Sauveur de Cange,HCR,Privé à but lucratif,623103,,,,
Centre ,Mirebalais,Boucan-Carré,2ème-Boucan-Carré,CS de St Michel de Boucan Carré,CAL,Mixte,623201,62301,,18.9192,-72.1403
Centre ,Mirebalais,Boucan-Carré,3ème-Des-Bayes,CS Sans Lits Saint EsPrivèt,CAL,Mixte,623302,,,,
Centre ,Lascahobas,Lascahobas,2ème-Juampas,Centre Santé Fanm,CAL,Mixte,631202,,,,
Centre ,Lascahobas,Lascahobas,2ème-Juampas,Centre de santé Mount Gold (NF),CSL,Privé à but lucratif,631205,,,,
Centre ,Lascahobas,Lascahobas,2ème-Juampas,Centre de santé de Lascahobas,CAL,Mixte,631201,63101,,18.8101,-71.9491
Centre ,Lascahobas,Belladère,1ère-Renthe-Mathe,Dispensaire de Croix  Fer (NF),Dispensaire,Privé à but lucratif,632102,63202,,18.8541,-71.8153
Centre ,Lascahobas,Belladère,1ère-Renthe-Mathe,Centre de Santé de Baptiste,CAL,Public,632104,63204,,18.7981,-71.7832
Centre ,Lascahobas,Belladère,1ère-Renthe-Mathe,Hôp. Notre Dame de la Nativité,HCR,Public,632101,63201,,18.8675,-71.7618
Centre ,Lascahobas,Belladère,2ème-Roye-Sec,Dispensaire de Roy Sec,Dispensaire,Public,632203,63203,,18.8928,-71.8386
Centre ,Lascahobas,Savanette,2ème-La-Haye,Centre de Santé de Savanette,CSL,Mixte,633201,63301,,18.745,-71.8218
Centre ,Lascahobas,Savanette,2ème-La-Haye,Dispensaire de Colombier,Dispensaire,Mixte,633202,63302,,18.745,-71.821
Centre ,Cerca-La-Source,Cerca-La-Source,1ère-Acajou-Brulé,Dispensaire de Saltadère (NF),Dispensaire,Privé à but non lucratif,641102,64102,,19.1339,-71.7324
Centre ,Cerca-La-Source,Cerca-La-Source,1ère-Acajou-Brulé,Dispensaire de Pacasse (NF),Dispensaire,Privé à but lucratif,641104,64104,,,
Centre ,Cerca-La-Source,Cerca-La-Source,2ème-Acajou-Brulé,CS de Cerca La Source,CAL,Mixte,641201,,,,
Centre ,Cerca-La-Source,Cerca-La-Source,2ème-Acajou-Brulé,Dispensaire de Baltazar (NF),Dispensaire,Privé à but lucratif,641203,64103,,,
Centre ,Cerca-La-Source,Cerca-La-Source,3ème-Lamielle,CS de Tilory,CAL,Public,641305,64105,,19.2318,-71.6821
Centre ,Cerca-La-Source,Thomassique,2ème-Lociane,Dispensaire de Boc Banic,Dispensaire,Public,642201,64201,,19.0511,-71.7506
Centre ,Cerca-La-Source,Thomassique,2ème-Lociane,Clinique St Joseph,CAL,Privé à but non lucratif,642202,64202,,19.09,-71.83
Grand Anse ,Jérémie,Jérémie,4ème-Basse-Guinaudée,Centre médico-social de Gébeau,CSL,Mixte,811402,81102,ICC,18.6225,-74.1119
Grand Anse ,Jérémie,Jérémie,8e-Fonds-Rouge-Dayère,Sainte Thérèse de l’Enfant Jésus,Dispensaire,Mixte,811803,81103,,18.6357,-74.1862
Grand Anse ,Jérémie,Jérémie,4ème-Basse-Guinaudée,NDPS de Latibolière,Dispensaire,Mixte,811404,81104,,18.5954,-74.1379
Grand Anse ,Jérémie,Jérémie,9e-Fonds-Rouge-Torberck,ND de l’Assomption de Numéro 2,Dispensaire,Mixte,811908,81108,,18.6633,-74.1584
Grand Anse ,Jérémie,Jérémie,3ème-Haute-Guinaudée,Bon Pasteur de Prévilé,CAL,Mixte,811309,81109,,18.5365,-74.1577
