Departement,commune,section_communale,Institution,Categorie,Statut,code_MSPP,code_iSante,Reseau,Lat,Long
Artibonite,Saint-Marc,2ème Bois Neuf^531-02,Chardène,Disp.,Public,531202,53102,,19.049,-72.7148
Artibonite,Saint-Marc,1ère Délugé^531-01,Gresseau,Disp.,Public,531105,53105,,18.9828,-72.6461
Artibonite,Saint-Marc,3ème Goyavier^531-03,Goyavier,Disp.,Public,531304,53104,,,
Artibonite,Saint-Marc,1ère Délugé^531-01,Montrouis,Disp.,Public,531107,53107,,,
Artibonite,Saint-Marc,2ème Bois Neuf^531-02,Jeanton,Disp.,Public,531206,53106,,19.0753,-72.7088
Artibonite,Saint-Marc,5ème Bocozelle^531-05,Bocozelle,CAL,Privé à but lucratif,531510,53110,,19.2069,-72.6405
Artibonite,Saint-Marc,5ème Bocozelle^531-05,Gervais,Disp.,Privé à but lucratif,531511,53111,,19.2378,-72.7188
Artibonite,Saint-Marc,4ème Lalouère^531-04,RSCH/ Gilbert,Disp.,Public,531412,53112,,19.0675,-72.6152
Artibonite,Saint-Marc,6ème Charrette^531-06,Terre Blanche,Disp.,Public,531613,53113,,19.0707,-72.681
Artibonite,Saint-Marc,6ème Charrette^531-06,SSPE,Disp.,Public,531615,,,,
Artibonite,Saint-Marc,5ème Bocozelle^531-05,RSCH/ Bertrant,Disp.,Privé à but lucratif,531516,53116,,19.1651,-72.636
Artibonite,Saint-Marc,6ème Charrette^531-06,Saint Nicolas,HCR,Public,531601,53101,PIH,19.1134,-72.699
Artibonite,Saint-Marc,6ème Charrette^531-06,Charrettes,Disp.,Public,531603,53103,,19.0802,-72.675
Artibonite,Saint-Marc,2ème Bois Neuf^531-02,Pierre Payen,CAL,Privé à but lucratif,531208,53108,URC,18.9972,-72.7379
Artibonite,Saint-Marc,5ème Bocozelle^531-05,Pont Sondé,Disp.,Public,531509,53109,,19.1488,-72.617
Artibonite,Saint-Marc,4ème Lalouère^531-04,St Laurent/Barbe,Disp.,Public,531414,53114,,19.094,-72.6551
Artibonite,Saint-Marc,4ème Lalouère^531-04,Lagarenne,Disp,Privé à but lucratif,531417,,,,
Artibonite,Saint-Marc,5ème Bocozelle^531-05,Fondation Siméus (NF),Disp.,Privé à but lucratif,531517,,,,
Artibonite,Verrettes,5ème Bastien^532-05,Bastien,Disp.,Privé à but lucratif,532503,53203,,19.0459,-72.5241
Artibonite,Verrettes,6ème Terre Natte^532-06,Barbe (NF),Disp.,Public,532602,53202,,,
Artibonite,Verrettes,3ème Guillaume Mogé^532-03,Disp. Christant (NF),Disp.,Public,532310,,,,
Artibonite,Verrettes,2ème Bélanger^532-02,CS de Belanger,CSL,Privé à but lucratif,532211,,,,
Artibonite,Verrettes,3ème Guillaume Mogé^532-03,CS St Guillaume,CSL,Mixte,532312,,,,
Artibonite,Verrettes,5ème Bastien^532-05,Dumarsais Estimé,Hôpital,Public,532506,53206,,19.0506,-72.4671
Artibonite,Verrettes,1ère Liancourt^532-01,Liancourt,CSL,Privé sans but lucratif,532108,53208,,19.1272,-72.5351
Artibonite,Verrettes,3ème Guillaume Mogé^532-03,Disp. Marin (NF),Disp.,Public,532309,,,,
Artibonite,Verrettes,2ème Bélanger^532-02,Albert Schweitzer,Hôpital,Privé sans but lucratif,532201,53201,CRS,19.0745,-72.4914
Artibonite,Verrettes,4ème Désarmes^532-04,Desarmes,CSL,Mixte,532404,53204,,18.9928,-72.3892
Artibonite,Verrettes,2ème Bélanger^532-02,Deschapelles,Disp.,Privé sans but lucratif,532205,53205,,19.0818,-72.4952
Artibonite,Verrettes,4ème Désarmes^532-04,Gabriel,Disp.,Privé sans but lucratif,532407,53207,,19.0159,-72.4595
Artibonite,Verrettes,4ème Désarmes^532-04,Valheureux,Disp,Privé à but lucratif,532413,,,,
Artibonite,La Chapelle,1ère Martineau^533-01,La Chapelle,CAL,Mixte,533101,53301,,18.914,-72.3164
Artibonite,Dessalines,2ème Fossé Naboth ou Duvallon^541-02,Pélissier/ Laraque,Disp.,Privé à but lucratif,541202,54102,,,
Artibonite,Dessalines,6ème La Croix^541-06,La Croix Missionnaire,Disp.,Privé à but lucratif,541603,51301,,,
Artibonite,Dessalines,5ème Fiéfé^541-05,Celio,Disp.,Privé à but lucratif,541504,54104,N/A,19.1645,-72.3624
Artibonite,Dessalines,3ème Ogé^541-03,Niel,Disp.,Privé à but lucratif,541305,54105,,19.2345,-72.5274
Artibonite,Dessalines,4ème Poste Pierrot^541-04,Poste Pierrot,Disp.,Privé à but lucratif,541406,54106,,19.204,-72.457
Artibonite,Dessalines,4ème Poste Pierrot^541-04,Coupe à l’Inde,Disp.,Privé à but lucratif,541407,54107,N/A,19.2789,-72.4663
Artibonite,Dessalines,1ère Villars^541-01,Sanoix,Disp.,Privé à but lucratif,541108,54108,,19.2222,-72.5816
Artibonite,Dessalines,4ème Poste Pierrot^541-04,Grande Hatte,Disp.,Privé à but lucratif,541410,54110,N/A,19.1428,-72.433
Artibonite,Dessalines,3ème Ogé^541-03,Ogé,Disp.,Public,541313,54113,,19.1976,-72.4939
Artibonite,Dessalines,2ème Fossé Naboth ou Duvallon^541-02,Hatte Chevreau,Disp.,Privé à but lucratif,541214,54114,N/A,19.2882,-72.5791
Artibonite,Dessalines,3ème Ogé^541-03,Centre Médical Philomène Privenston,CAL,Privé à but lucratif,541316,,,,
Artibonite,Dessalines,2ème Fossé Naboth ou Duvallon^541-02,CS de Haute Feuille,Disp.,Public,541217,,,,
Artibonite,Dessalines,6ème La Croix^541-06,CS de Basse Cabaille,CSL,Privé à but lucratif,541618,,,,
Artibonite,Dessalines,3ème Ogé^541-03,CS de Grand Bois,CAL,Public,541319,,,,
Artibonite,Dessalines,4ème Poste Pierrot^541-04,CS de Bois Mary,CAL,Public,541420,,,,
Artibonite,Dessalines,3ème Ogé^541-03,Claire Heureuse,HCR,Mixte,541301,54101,URC,19.2632,-72.5163
Artibonite,Dessalines,2ème Fossé Naboth ou Duvallon^541-02,Deseaux,Disp.,Mixte,541209,54109,N/A,19.2565,-72.5822
Artibonite,Dessalines,1ère Villars^541-01,Beaufort (NF),Disp,Privé à but lucratif,541111,,,,
Artibonite,Dessalines,4ème Poste Pierrot^541-04,Shekina (NF),Disp,Privé à but lucratif,541412,,,,
Artibonite,Dessalines,3ème Ogé^541-03,Sainte Claire d’Assise,Disp.,Privé à but lucratif,541311,54111,ICC,19.2592,-72.5161
Artibonite,Dessalines,5ème Fiéfé^541-05,Chenot,Disp.,Privé sans but lucratif,541512,54112,N/A,19.1564,-72.3239
Artibonite,Dessalines,3ème Ogé^541-03,Glenn Eben-Ezer,Disp.,Privé à but lucratif,541315,,,,
Artibonite,Petite Rivière de L'Artibonite,3ème Labady^542-03,Charles Colimon,HCR,Public,542301,54201,,19.1215,-72.4751
Artibonite,Petite Rivière de L'Artibonite,4ème Savane à Roche^542-04,Deslandes,Disp.,Privé à but lucratif,542402,54202,,18.9479,-72.3142
Artibonite,Petite Rivière de L'Artibonite,3ème Labady^542-03,Plassac,CSL,Privé sans but lucratif,542306,54206,,19.0613,-72.4052
Artibonite,Petite Rivière de L'Artibonite,1ère Bas Coursin^542-01,Jean Denis,Disp.,Privé à but lucratif,542109,54209,,19.1848,-72.5428
Artibonite,Petite Rivière de L'Artibonite,2ème Bas Coursin^542-02,Ségur (NF),Disp.,Public,542208,54208,,,
Artibonite,Petite Rivière de L'Artibonite,6ème Médor^542-06,Saint joseph,Disp,Privé à but lucratif,542604,,,,
Artibonite,Petite Rivière de L'Artibonite,6ème Médor^542-06,Médor,Disp.,Public,542611,,,,
Artibonite,Petite Rivière de L'Artibonite,1ère Bas Coursin^542-01,Mauger (NF),Disp.,Public,542103,54203,,19.1611,-72.5659
Artibonite,Petite Rivière de L'Artibonite,5ème Pérodin^542-05,Pérodin,Disp.,Privé sans but lucratif,542505,54205,,19.1075,-72.3014
Artibonite,Petite Rivière de L'Artibonite,4ème Savane à Roche^542-04,Savane à Roche,Disp.,Mixte,542407,54207,,19.0118,-72.3669
Artibonite,Grande Saline,1ère Poteneau^543-01,Drouin,CAL,Public,543101,54301,,19.2561,-72.6897
Artibonite,Grande Saline,1ère Poteneau^543-01,Grande Saline (NF),Disp.,Public,543102,54302,,,
Artibonite,Grande Saline,1ère Poteneau^543-01,Poteneau,Disp.,Public,543103,54303,,19.237,-72.6416
Artibonite,Desdunes,2ème Desdunes^544-01,CSL St Pierre,CAL,Public,544201,54401,N/A,19.2841,-72.6348
Artibonite,Desdunes,2ème Desdunes^544-01,Disp. Des Cahos,Disp.,Public,544202,54402,N/A,19.3011,-72.6504
Artibonite,Desdunes,2ème Desdunes^544-01,Fèk Parèt,Disp,Public,544204,,,,
Artibonite,Desdunes,2ème Desdunes^544-01,Disp. Aux Sources,Disp.,Public,544203,54403,N/A,19.3301,-72.6757
Artibonite,Saint-Michel de L'Attalaye,3ème Bas de Sault^551-03,Saint Michel de l’Attalaye,CAL,Public,551301,55201,,19.5168,-72.3602
Artibonite,Saint-Michel de L'Attalaye,7ème Mamont^551-07,Marmont/Nan Paul,Disp.,Public,551703,55203,,,
Artibonite,Saint-Michel de L'Attalaye,6ème Lacedras^551-06,Garde Baptiste,Disp.,Public,551604,55204,,,
Artibonite,Saint-Michel de L'Attalaye,3ème Bas de Sault^551-03,Bas de Sault,Disp.,Public,551305,55205,,,
Artibonite,Saint-Michel de L'Attalaye,8ème l'Attalaye^551-08,Disp. l’Attalaye (NF),Disp.,Privé à but lucratif,551808,,,,
Artibonite,Saint-Michel de L'Attalaye,3ème Bas de Sault^551-03,Disp. Bon Berger (NF),Disp.,Privé à but lucratif,551309,,,,
Artibonite,Saint-Michel de L'Attalaye,5ème L'Ermite^551-05,L’Ermite,Disp.,Public,551506,55206,,,
Artibonite,Saint-Michel de L'Attalaye,7ème Mamont^551-07,Disp. New Mission,Disp.,Privé sans but lucratif,551711,,,,
Artibonite,Saint-Michel de L'Attalaye,4ème Lalomas^551-04,Las Lomas,Disp.,Public,551402,55202,,,
Artibonite,Saint-Michel de L'Attalaye,8ème l'Attalaye^551-08,CS Village d’Espoir,CSL,Public,551810,,,,
Artibonite,Saint-Michel de L'Attalaye,2ème Camathe^551-02,Camathe,CSL,Privé sans but lucratif,551207,55207,,,
Artibonite,Marmelade,2ème Bassin^552-02,Bassin,Disp,Public,552202,,,,
Artibonite,Marmelade,1ère Crête à Pins^552-01,CSL Marmelade,CAL,Public,552101,55101,URC,19.3762,-72.3367
Centre,Hinche,1ère Juanaria^611-01,Hôpital Sainte Thérèse (Hinche),HD,Public,611100,61100,,19.1381,-72.014
Centre,Hinche,1ère Juanaria^611-01,Clinic l’Incarnation de Pandiasou,CAL,Privé à but non lucratif,611106,61106,,19.127,-72.0572
Centre,Hinche,1ère Juanaria^611-01,Disp. Withney Clinic,CSL,Public,611107,,,,
Centre,Hinche,1ère Juanaria^611-01,Disp. de Montegrande,Dispensaire,Public,611103,,,,
Centre,Hinche,1ère Juanaria^611-01,Disp. de Dos Palais (NF),Dispensaire,Mixte,611110,61103,,,
Centre,Hinche,1ère Juanaria^611-01,Disp. des Abricots,Dispensaire,Privé à but lucratif,611104,61104,,19.0627,-72.0831
Centre,Hinche,1ère Juanaria^611-01,Centre de santé Abricots,Dispensaire,Privé à but lucratif,611111,,,,
Centre,Hinche,1ère Juanaria^611-01,Clinique New Hope de Hinche,CSL,Privé à but lucratif,611112,,,,
Centre,Hinche,2ème Marmont^611-02,Centre de Santé de Marmont,CSL,Public,611201,61101,,19.06,-71.98
Centre,Hinche,3ème Aguahedionde^611-03,Disp. de Bassin Zim,Dispensaire,Public,611308,,,,
Centre,Hinche,3ème Aguahedionde^611-03,Disp. de Los Palis,Dispensaire,Mixte,611305,,,,
Centre,Hinche,3ème Aguahedionde^611-03,Disp. de Los Palma (NF),Dispensaire,Privé à but lucratif,611309,,,,
Centre,Hinche,4ème Aguahedionde^611-04,Disp. la Belle Onde,Dispensaire,Public,611402,61102,,19.1713,-72.0578
Centre,Maïssade,1ère Savane Grande^612-01,Centre de Santé de Maïssade,CAL,Public,612101,61201,,19.18,-72.14
Centre,Maïssade,1ère Savane Grande^612-01,Dispensaire de Selpètre,CSL,Public,612104,61204,,19.1511,-72.1662
Centre,Maïssade,1ère Savane Grande^612-01,Dispensaire Cinquième,Dispensaire,Public,612105,61205,,19.2084,-72.2264
Centre,Maïssade,1ère Savane Grande^612-01,Dispensaire Madame Joie,Dispensaire,Public,612106,,,,
Centre,Maïssade,2ème Narang^612-02,Dispensaire de Bois-Rouge,Dispensaire,Public,612202,61202,,19.1058,-72.2001
Centre,Maïssade,3ème Hatty^612-03,Dispensaire Ossenande,Dispensaire,Public,612303,,,,
Centre,Maïssade,3ème Hatty^612-03,Dispensaire Bassin Cave (NF),Dispensaire,Privé à but lucratif,612307,61203,,19.2371,-72.1722
Centre,Maïssade,3ème Hatty^612-03,Dispensaire Hatty (NF),Dispensaire,Privé à but lucratif,612308,61206,,19.167,-72.2223
Centre,Thomonde,1ère Cabral^613-01,Centre de Santé de Thomonde,CAL,Mixte,613101,61301,,19.0262,-71.9696
Centre,Thomonde,1ère Cabral^613-01,Polyclinique commun. Thomonde,CSL,Privé à but lucratif,613106,,,,
Centre,Thomonde,3ème Baille Tourrible^613-03,CS Baille-Tourrible,CSL,Mixte,613305,,,,
Centre,Thomonde,3ème La Hoye^613-04,Dispensaire La Hoye,Dispensaire,Public,613402,,,,
Centre,Thomonde,3ème La Hoye^613-04,Dispensaire Caste (NF),CSL,Public,613404,,,,
Centre,Thomonde,3ème La Hoye^613-04,Dispensaire Pareidon (NF),Dispensaire,Privé à but lucratif,613403,,,,
Centre,Cerca Cavajal,1ère Rang^614-01,Centre de Santé de Cerca Cavajal,CAL,Public,614101,,,,
Centre,Cerca Cavajal,1ère Rang^614-01,Dispensaire Ste famille,Dispensaire,Privé à but lucratif,614108,,,,
Centre,Cerca Cavajal,1ère Rang^614-01,Dispensaire Bon Samaritain (NF),Dispensaire,Privé à but lucratif,614105,61405,,,
Centre,Cerca Cavajal,1ère Rang^614-01,Dispensaire d’Angoman (NF),Dispensaire,Privé à but lucratif,614106,61406,,,
Centre,Cerca Cavajal,1ère Rang^614-01,CS Farnèse Louis Jeune (NF),Dispensaire,Privé à but lucratif,614107,61407,,,
Centre,Mirebalais,3ème Grand Boucan^621-03,Hôp. Universitaire de Mirebalais,HU,Public,621308,,,,
Centre,Mirebalais,3ème Grand Boucan^621-03,Dispensaire Décaussière (NF),Dispensaire,Public,621307,,,,
Centre,Mirebalais,3ème Grand Boucan^621-03,Dispensaire Grand Boucan (NF),Dispensaire,Privé à but lucratif,621305,62105,,,
Centre,Mirebalais,3ème Grand Boucan^621-03,Dispensaire Fonds Michel,Dispensaire,Privé à but lucratif,621306,62106,,,
Centre,Mirebalais,4ème Crête Brûlée^621-04,Centre de santé ODECOM,CSL,Mixte,621410,,,,
Centre,Mirebalais,4ème Crête Brûlée^621-04,Centre de santé Trianon,CSL,Mixte,621409,,,,
Centre,Mirebalais,5ème Gascogne^621-01,Dispensaire Marché Canard,Dispensaire,Public,621504,62104,URC,18.7756,-72.0322
Centre,Mirebalais,6ème Sarazin^621-02,Clinique Mennonite (Mirebalais),CSL,Public,621603,62103,,18.8344,-72.0996
Centre,Mirebalais,6ème Sarazin^621-02,Dispensaire de Sarazin,Dispensaire,Public,621601,62101,,18.798,-72.001
Centre,Saut d'Eau,1ère Rivière Canot^622-01,CS sans Lit de Saut d’Eau,CSL,Public,622101,62201,,18.8164,-72.1974
Centre,Saut d'Eau,3ème Coupe Mardi Gras^622-03,Disp. Coupe Mardi- Gras,CSL,Mixte,622302,,,,
Centre,Saut d'Eau,4ème Montagne Terrible^622-04,Disp. Montagne Terrible (NF),Dispensaire,Privé à but lucratif,622403,62202,,18.8072,-72.2683
Centre,Saut d'Eau,4ème Montagne Terrible^622-04,Dispensaire Cap Anamur (NF),Dispensaire,Privé à but lucratif,622404,62203,,,
Centre,Boucan Carré,3ème des Bayes^623-03,Hôpital Bon Sauveur de Cange,HCR,Privé à but lucratif,623103,,,,
Centre,Boucan Carré,2ème Boucan Carré^623-02,CS de St Michel de Boucan Carré,CAL,Mixte,623201,62301,,18.9192,-72.1403
Centre,Boucan Carré,3ème des Bayes^623-03,CS Sans Lits Saint EsPrivèt,CAL,Mixte,623302,,,,
Centre,Lascahobas,2ème Juampas^631-02,Centre Santé Fanm,CAL,Mixte,631202,,,,
Centre,Lascahobas,2ème Juampas^631-02,Centre de santé Mount Gold (NF),CSL,Privé à but lucratif,631205,,,,
Centre,Lascahobas,2ème Juampas^631-02,Centre de santé de Lascahobas,CAL,Mixte,631201,63101,,18.8101,-71.9491
Centre,Belladères,1ère Renth Mathe^632-01,Dispensaire de Croix Fer (NF),Dispensaire,Privé à but lucratif,632102,63202,,18.8541,-71.8153
Centre,Belladères,1ère Renth Mathe^632-01,Centre de Santé de Baptiste,CAL,Public,632104,63204,,18.7981,-71.7832
Centre,Belladères,1ère Renth Mathe^632-01,Hôp. Notre Dame de la Nativité,HCR,Public,632101,63201,,18.8675,-71.7618
Centre,Belladères,2ème Roye Sec^632-02,Dispensaire de Roy Sec,Dispensaire,Public,632203,63203,,18.8928,-71.8386
Centre,Savanette,2ème La Haye^633-02,Centre de Santé de Savanette,CSL,Mixte,633201,63301,,18.745,-71.8218
Centre,Savanette,2ème La Haye^633-02,Dispensaire de Colombier,Dispensaire,Mixte,633202,63302,,18.745,-71.821
Centre,Cerca La Source,1ère Acajou Bruler^641-01,Dispensaire de Saltadère (NF),Dispensaire,Privé à but non lucratif,641102,64102,,19.1339,-71.7324
Centre,Cerca La Source,1ère Acajou Bruler^641-01,Dispensaire de Pacasse (NF),Dispensaire,Privé à but lucratif,641104,64104,,,
Centre,Cerca La Source,2ème Acajou Bruler^641-02,CS de Cerca La Source,CAL,Mixte,641201,,,,
Centre,Cerca La Source,2ème Acajou Bruler^641-02,Dispensaire de Baltazar (NF),Dispensaire,Privé à but lucratif,641203,64103,,,
Centre,Cerca La Source,3ème Lamielle^641-03,CS de Tilory,CAL,Public,641305,64105,,19.2318,-71.6821
Centre,Thomassique,2ème Lociane^642-02,Dispensaire de Boc Banic,Dispensaire,Public,642201,64201,,19.0511,-71.7506
Centre,Thomassique,2ème Lociane^642-02,Clinique St Joseph,CAL,Privé à but non lucratif,642202,64202,,19.09,-71.83
Grand Anse,Jérémie,4ème Basse Guinaudée^811-04,Centre médico-social de Gébeau,CSL,Mixte,811402,81102,ICC,18.6225,-74.1119
Grand Anse,Jérémie,8ème Fonds Rouge Dahere^811-08,Sainte Thérèse de l’Enfant Jésus,Dispensaire,Mixte,811803,81103,,18.6357,-74.1862
Grand Anse,Jérémie,4ème Basse Guinaudée^811-04,NDPS de Latibolière,Dispensaire,Mixte,811404,81104,,18.5954,-74.1379
Grand Anse,Jérémie,9ème Fonds Rouge Torberck^811-09,ND de l’Assomption de Numéro 2,Dispensaire,Mixte,811908,81108,,18.6633,-74.1584
Grand Anse,Jérémie,3ème Haute Guinaudée^811-03,Bon Pasteur de Prévilé,CAL,Mixte,811309,81109,,18.5365,-74.1577
Grand Anse,Jérémie,7ème Marfranc^811-07,Immaculée Conception Ste Hélène,CSL,Mixte,811710,81110,URC,18.6225,-74.1119
Grand Anse,Jérémie,9ème Fonds Rouge Torberck^811-09,Hôpital Saint Antoine,HCR,Public,811900,81100,ITECH,18.646,-74.1175
Grand Anse,Jérémie,8ème Fonds Rouge Dahere^811-08,Haitian Health Foundation,CSL,Privé à but non lucratif,811801,81101,URC,18.64,-74.12
Grand Anse,Jérémie,2ème Haute Voldrogue^811-02,Siloé de Léon,Dispensaire,Public,811205,81105,,18.5457,-74.1115
Grand Anse,Jérémie,9ème Fonds Rouge Torberck^811-09,SSPE de Mackandal,Dispensaire,Public,811906,81106,,18.6474,-74.1156
Grand Anse,Jérémie,7ème Marfranc^811-07,SSPE de Marfranc,Dispensaire,Public,811707,81107,,18.5872,-74.209
Grand Anse,Jérémie,2ème Haute Voldrogue^811-02,Dispensaire Sainte Anne,Dispensaire,Public,811211,,,,
Grand Anse,Abricots,1ère Anse du Clerc^812-01,CS Léon Coicou d’Anse du Clerc,CSL,Mixte,812102,81202,,18.6476,-74.278
Grand Anse,Abricots,2ème Balisiers^812-02,SSPE St Joseph des Abricots,CSL,Public,812203,81201,PATHFINDER,,
Grand Anse,Bonbons,10ème de Désormeau^813-01,Chemen Lavi de Bonbon,Dispensaire,Public,8131001,81301,,18.6651,-74.2448
Grand Anse,Bonbons,10ème de Désormeau^813-01,HHF de Bonbon,Dispensaire,Privé à but lucratif,8131002,81302,,,
Grand Anse,Moron,1ère Anotte^814-01,Centre de Santé de Moron,CSL,Public,814101,81401,,18.5597,-74.2591
Grand Anse,Moron,1ère Anotte^814-01,ND de Lourdes de Moron,Dispensaire,Privé à but lucratif,814103,81403,,18.5596,-74.2561
Grand Anse,Moron,1ère Anotte^814-01,HHF de Moron,Dispensaire,Privé à but lucratif,814102,81402,,,
